Name,Date,Location,Type,Region,Latitude,Longitude,Weather Code,Max Temperature,Min Temperature,Weather Forecast
More Music,3/22/2024, The Moore Theatre,Music,Downtown,42.2896932,-83.7207314,63,8.6,3.3,"{'latitude': 42.292328, 'longitude': -83.736755, 'generationtime_ms': 0.06210803985595703, 'utc_offset_seconds': 0, 'timezone': 'GMT', 'timezone_abbreviation': 'GMT', 'elevation': 263.0, 'daily_units': {'time': 'iso8601', 'weather_code': 'wmo code', 'temperature_2m_max': '°C', 'temperature_2m_min': '°C'}, 'daily': {'time': ['2024-03-08'], 'weather_code': [63], 'temperature_2m_max': [8.6], 'temperature_2m_min': [3.3]}}"
Bach St. John Passion,Now through 3/9/2024, Benaroya Hall,Music,Downtown,47.60811665,-122.33697040702705,3,9.4,1.9,"{'latitude': 47.621212, 'longitude': -122.33498, 'generationtime_ms': 0.04291534423828125, 'utc_offset_seconds': 0, 'timezone': 'GMT', 'timezone_abbreviation': 'GMT', 'elevation': 42.0, 'daily_units': {'time': 'iso8601', 'weather_code': 'wmo code', 'temperature_2m_max': '°C', 'temperature_2m_min': '°C'}, 'daily': {'time': ['2024-03-08'], 'weather_code': [3], 'temperature_2m_max': [9.4], 'temperature_2m_min': [1.9]}}"
Be/longing: Contemporary Asian Art,Ongoing, Seattle Asian Art Museum,Museums,Capitol Hill / Central District,47.63029565,-122.31413540328062,3,9.3,1.1,"{'latitude': 47.628304, 'longitude': -122.29689, 'generationtime_ms': 0.06306171417236328, 'utc_offset_seconds': 0, 'timezone': 'GMT', 'timezone_abbreviation': 'GMT', 'elevation': 137.0, 'daily_units': {'time': 'iso8601', 'weather_code': 'wmo code', 'temperature_2m_max': '°C', 'temperature_2m_min': '°C'}, 'daily': {'time': ['2024-03-08'], 'weather_code': [3], 'temperature_2m_max': [9.3], 'temperature_2m_min': [1.1]}}"
Jennifer Hartswick Band,3/23/2024, High Dive,Music,Fremont / Ballard,41.7111625,-93.6318959,51,9.8,0.2,"{'latitude': 41.69963, 'longitude': -93.64569, 'generationtime_ms': 0.03993511199951172, 'utc_offset_seconds': 0, 'timezone': 'GMT', 'timezone_abbreviation': 'GMT', 'elevation': 293.0, 'daily_units': {'time': 'iso8601', 'weather_code': 'wmo code', 'temperature_2m_max': '°C', 'temperature_2m_min': '°C'}, 'daily': {'time': ['2024-03-08'], 'weather_code': [51], 'temperature_2m_max': [9.8], 'temperature_2m_min': [0.2]}}"
Seattle Kraken vs. Anaheim Ducks,3/28/2024, Climate Pledge Arena,Sports,Queen Anne / Seattle Center,47.6219014,-122.353990491486,3,9.4,1.9,"{'latitude': 47.621212, 'longitude': -122.33498, 'generationtime_ms': 0.06496906280517578, 'utc_offset_seconds': 0, 'timezone': 'GMT', 'timezone_abbreviation': 'GMT', 'elevation': 45.0, 'daily_units': {'time': 'iso8601', 'weather_code': 'wmo code', 'temperature_2m_max': '°C', 'temperature_2m_min': '°C'}, 'daily': {'time': ['2024-03-08'], 'weather_code': [3], 'temperature_2m_max': [9.4], 'temperature_2m_min': [1.9]}}"
Umphrey’s McGee,3/17/2024, The Showbox,Music,Downtown,47.6085136,-122.3394726,3,9.4,1.9,"{'latitude': 47.621212, 'longitude': -122.33498, 'generationtime_ms': 0.06604194641113281, 'utc_offset_seconds': 0, 'timezone': 'GMT', 'timezone_abbreviation': 'GMT', 'elevation': 42.0, 'daily_units': {'time': 'iso8601', 'weather_code': 'wmo code', 'temperature_2m_max': '°C', 'temperature_2m_min': '°C'}, 'daily': {'time': ['2024-03-08'], 'weather_code': [3], 'temperature_2m_max': [9.4], 'temperature_2m_min': [1.9]}}"
Kathy Ross: Serious Fun,3/24/2024, Bainbridge Island Museum of Art,Museums,West,47.6251322,-122.51453295865404,3,9.6,3.2,"{'latitude': 47.5856, 'longitude': -122.52519, 'generationtime_ms': 0.07200241088867188, 'utc_offset_seconds': 0, 'timezone': 'GMT', 'timezone_abbreviation': 'GMT', 'elevation': 24.0, 'daily_units': {'time': 'iso8601', 'weather_code': 'wmo code', 'temperature_2m_max': '°C', 'temperature_2m_min': '°C'}, 'daily': {'time': ['2024-03-08'], 'weather_code': [3], 'temperature_2m_max': [9.6], 'temperature_2m_min': [3.2]}}"
Places to Call Home: Settlements in the West,Now through 3/17/2024, Tacoma Art Museum,Museums,South,47.2475134,-122.43680521780016,3,10.2,1.5,"{'latitude': 47.244843, 'longitude': -122.42595, 'generationtime_ms': 0.06103515625, 'utc_offset_seconds': 0, 'timezone': 'GMT', 'timezone_abbreviation': 'GMT', 'elevation': 19.0, 'daily_units': {'time': 'iso8601', 'weather_code': 'wmo code', 'temperature_2m_max': '°C', 'temperature_2m_min': '°C'}, 'daily': {'time': ['2024-03-08'], 'weather_code': [3], 'temperature_2m_max': [10.2], 'temperature_2m_min': [1.5]}}"
glass beach,3/21/2024, Neumos,Music,Capitol Hill / Central District,47.613954,-122.3196108,3,9.1,1.6,"{'latitude': 47.621212, 'longitude': -122.33498, 'generationtime_ms': 0.07104873657226562, 'utc_offset_seconds': 0, 'timezone': 'GMT', 'timezone_abbreviation': 'GMT', 'elevation': 95.0, 'daily_units': {'time': 'iso8601', 'weather_code': 'wmo code', 'temperature_2m_max': '°C', 'temperature_2m_min': '°C'}, 'daily': {'time': ['2024-03-08'], 'weather_code': [3], 'temperature_2m_max': [9.1], 'temperature_2m_min': [1.6]}}"
Clarence Moriwaki,3/18/2024, Town Hall Seattle,Readings & Lectures,Downtown,47.6090191,-122.32993774092222,3,9.2,1.7,"{'latitude': 47.621212, 'longitude': -122.33498, 'generationtime_ms': 0.07605552673339844, 'utc_offset_seconds': 0, 'timezone': 'GMT', 'timezone_abbreviation': 'GMT', 'elevation': 77.0, 'daily_units': {'time': 'iso8601', 'weather_code': 'wmo code', 'temperature_2m_max': '°C', 'temperature_2m_min': '°C'}, 'daily': {'time': ['2024-03-08'], 'weather_code': [3], 'temperature_2m_max': [9.2], 'temperature_2m_min': [1.7]}}"
XAVI,4/5/2024, Showbox SoDo,Music,Pioneer Square,47.5880461,-122.333928,3,9.9,2.3,"{'latitude': 47.595562, 'longitude': -122.32442, 'generationtime_ms': 0.0699758529663086, 'utc_offset_seconds': 0, 'timezone': 'GMT', 'timezone_abbreviation': 'GMT', 'elevation': 5.0, 'daily_units': {'time': 'iso8601', 'weather_code': 'wmo code', 'temperature_2m_max': '°C', 'temperature_2m_min': '°C'}, 'daily': {'time': ['2024-03-08'], 'weather_code': [3], 'temperature_2m_max': [9.9], 'temperature_2m_min': [2.3]}}"
Tuomo and Markus Concert,3/15/2024, National Nordic Museum,Museums,Fremont / Ballard,47.668285600000004,-122.39177691452363,3,9.4,2.3,"{'latitude': 47.66542, 'longitude': -122.394135, 'generationtime_ms': 0.051975250244140625, 'utc_offset_seconds': 0, 'timezone': 'GMT', 'timezone_abbreviation': 'GMT', 'elevation': 9.0, 'daily_units': {'time': 'iso8601', 'weather_code': 'wmo code', 'temperature_2m_max': '°C', 'temperature_2m_min': '°C'}, 'daily': {'time': ['2024-03-08'], 'weather_code': [3], 'temperature_2m_max': [9.4], 'temperature_2m_min': [2.3]}}"
"Matthew Desmond: Poverty, By America",3/28/2024, Town Hall Seattle,Readings & Lectures,Downtown,47.6090191,-122.32993774092222,3,9.2,1.7,"{'latitude': 47.621212, 'longitude': -122.33498, 'generationtime_ms': 0.08308887481689453, 'utc_offset_seconds': 0, 'timezone': 'GMT', 'timezone_abbreviation': 'GMT', 'elevation': 77.0, 'daily_units': {'time': 'iso8601', 'weather_code': 'wmo code', 'temperature_2m_max': '°C', 'temperature_2m_min': '°C'}, 'daily': {'time': ['2024-03-08'], 'weather_code': [3], 'temperature_2m_max': [9.2], 'temperature_2m_min': [1.7]}}"
